0:Met[Zsun],1:Age[Gyr],2:Rp[Rsun],3:Vinf[km/s],4:Mass1_i[MSUN],5:Mass2_i[Msun],6:R1[Rsun],7:R2[Rsun],8:Label,9:Mass1_f[MSUN],10:Mass2_f[MSUN],11:Sigma
0.010,0.000036951,5.07604, 2000,32.000000,32.000000, 5.2166301, 5.2166301, 2, 31.796980, 31.791960,1
0.010,0.000036951,5.07604,  250,32.000000,32.000000, 5.2166301, 5.2166301, 1,  0.000000, 62.898960,1
0.010,0.000036951,5.07604, 4000,32.000000,32.000000, 5.2166301, 5.2166301, 2, 31.628320, 31.637190,1
0.010,0.000036951,5.07604,  500,32.000000,32.000000, 5.2166301, 5.2166301, 1,  0.000000, 62.040220,1
0.010,0.000036951,5.07604, 8000,32.000000,32.000000, 5.2166301, 5.2166301, 2, 30.951620, 30.939310,1
0.010,0.000036951,5.85002, 1000,32.000000,32.000000, 5.2166301, 5.2166301, 2, 31.950840, 31.951790,1
0.010,0.000036951,5.85002,  100,32.000000,32.000000, 5.2166301, 5.2166301, 1, 62.764930,  0.000000,1
0.010,0.000036951,5.85002,   10,32.000000,32.000000, 5.2166301, 5.2166301, 1,  0.000000, 62.745540,1
0.010,0.000036951,5.85002,16000,32.000000,32.000000, 5.2166301, 5.2166301, 2, 31.070080, 31.052350,1
0.010,0.000036951,5.85002, 2000,32.000000,32.000000, 5.2166301, 5.2166301, 2, 31.895150, 31.892070,1
0.010,0.000036951,5.85002,  250,32.000000,32.000000, 5.2166301, 5.2166301, 1,  0.000000, 62.848920,1
0.010,0.000036951,5.85002, 4000,32.000000,32.000000, 5.2166301, 5.2166301, 2, 31.859990, 31.860460,1
0.010,0.000036951,5.85002,  500,32.000000,32.000000, 5.2166301, 5.2166301, 1, 62.608280,  0.000000,1
0.010,0.000036951,5.85002, 8000,32.000000,32.000000, 5.2166301, 5.2166301, 2, 31.664730, 31.668990,1
0.010,0.000036951,6.49758, 1000,32.000000,32.000000, 5.2166301, 5.2166301, 2, 31.966180, 31.971560,1
0.010,0.000036951,6.49758,  100,32.000000,32.000000, 5.2166301, 5.2166301, 1, 63.067790,  0.000000,1
